2024-05-10 06:03:18,659 INFO    Thread-204:2329390 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_setup.py:_flush():76] Configure stats pid to 2329390
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_setup.py:_flush():76] Loading settings from /home/vb2386/.config/wandb/settings
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_setup.py:_flush():76] Loading settings from /scratch/vb2386/Documents/torch-ngp/wandb/settings
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'Sweep_NGP', 'entity': 'vb2386', 'root_dir': '/scratch/vb2386/Documents/torch-ngp', 'run_id': 'k48cxfek', 'sweep_param_path': '/scratch/vb2386/Documents/torch-ngp/wandb/sweep-7od4vbh9/config-k48cxfek.yaml', 'sweep_id': '7od4vbh9'}
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'profile_ngp.py', 'program_abspath': '/scratch/vb2386/Documents/torch-ngp/profile_ngp.py', 'program': 'profile_ngp.py'}
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_init.py:_log_setup():521] Logging user logs to /scratch/vb2386/Documents/torch-ngp/wandb/run-20240510_060318-k48cxfek/logs/debug.log
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_init.py:_log_setup():522] Logging internal logs to /scratch/vb2386/Documents/torch-ngp/wandb/run-20240510_060318-k48cxfek/logs/debug-internal.log
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_init.py:init():561] calling init triggers
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_init.py:init():568] wandb.init called with sweep_config: {'lr': 0.01, 'max_ray_batch': 4096, 'num_rays': 16384}
config: {}
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_init.py:init():611] starting backend
2024-05-10 06:03:18,660 INFO    Thread-204:2329390 [wandb_init.py:init():615] setting up manager
2024-05-10 06:03:18,664 INFO    Thread-204:2329390 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-10 06:03:18,664 INFO    Thread-204:2329390 [wandb_init.py:init():623] backend started and connected
2024-05-10 06:03:18,671 INFO    Thread-204:2329390 [wandb_run.py:_config_callback():1347] config_cb None None {'lr': 0.01, 'max_ray_batch': 4096, 'num_rays': 16384}
2024-05-10 06:03:18,673 INFO    Thread-204:2329390 [wandb_init.py:init():715] updated telemetry
2024-05-10 06:03:18,862 INFO    Thread-204:2329390 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-05-10 06:03:18,994 INFO    Thread-204:2329390 [wandb_run.py:_on_init():2357] communicating current version
2024-05-10 06:03:19,023 INFO    Thread-204:2329390 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-10 06:03:19,023 INFO    Thread-204:2329390 [wandb_init.py:init():799] starting run threads in backend
2024-05-10 06:03:19,855 INFO    Thread-204:2329390 [wandb_run.py:_console_start():2335] atexit reg
2024-05-10 06:03:19,855 INFO    Thread-204:2329390 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-05-10 06:03:19,855 INFO    Thread-204:2329390 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-05-10 06:03:19,856 INFO    Thread-204:2329390 [wandb_run.py:_redirect():2280] Redirects installed.
2024-05-10 06:03:19,856 INFO    Thread-204:2329390 [wandb_init.py:init():842] run started, returning control to user process
2024-05-10 06:08:03,862 INFO    Thread-204:2329390 [wandb_run.py:_finish():2064] finishing run vb2386/Sweep_NGP/k48cxfek
2024-05-10 06:08:03,862 INFO    Thread-204:2329390 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-05-10 06:08:03,862 INFO    Thread-204:2329390 [wandb_run.py:_restore():2287] restore
2024-05-10 06:08:03,862 INFO    Thread-204:2329390 [wandb_run.py:_restore():2293] restore done
2024-05-10 06:08:07,840 INFO    Thread-204:2329390 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-05-10 06:08:07,840 INFO    Thread-204:2329390 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-05-10 06:08:07,845 INFO    Thread-204:2329390 [wandb_run.py:_footer_sync_info():3895] logging synced files
